strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
T6,77,/measure,103.65895987735013,-656.8419392352876,2,direction,E11:joint_route_transit,15.1747665689097,5.0,0.0,0.0,0.0,20.1747665689097
T6,78,/measure,103.65895987735013,-656.8419392352876,18,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
T6,79,/clear,101.46221125933833,-664.104354853695,15,success,E11_clear,1.5174766568909708,0.0,0.0,5.0,0.0,6.51747665689097
T6,80,/measure,101.8539314578614,-669.6559556500196,2,direction,E11:joint_route_transit,1.113080699961735,5.0,1.0,0.0,0.0,7.113080699961735
T6,81,/measure,101.8539314578614,-669.6559556500196,18,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
T6,82,/measure,104.98769304604602,-714.0687620206166,2,direction,E11:joint_route_transit,8.904645599693971,5.0,1.0,0.0,0.0,14.904645599693971
T6,83,/measure,124.57370297219984,-991.6488018368482,18,direction,E11:joint_route_transit,55.654034998087276,5.0,1.0,0.0,0.0,61.654034998087276
T6,84,/measure,124.96542317072291,-997.2004026331729,7,direction,E11:discovery,1.1130806999617577,5.0,1.0,0.0,0.0,7.113080699961758
T6,85,/measure,124.96542317072291,-997.2004026331729,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,86,/measure,124.96542317072291,-997.2004026331729,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,87,/measure,124.96542317072291,-997.2004026331729,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,88,/measure,124.96542317072291,-997.2004026331729,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,89,/measure,124.96542317072291,-997.2004026331729,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,90,/measure,124.96542317072291,-997.2004026331729,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,91,/measure,124.96542317072291,-997.2004026331729,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,92,/measure,112.98765134277734,-993.163665871268,18,direction,E11:joint_route_transit,2.527941942745054,5.0,1.0,0.0,0.0,8.527941942745054
T6,93,/measure,5.187704891267174,-956.8330350141244,2,direction,E11:joint_route_transit,22.751477484705465,5.0,1.0,0.0,0.0,28.751477484705465
T6,94,/measure,-18.767838764624003,-948.7595614903148,7,direction,E11:joint_route_transit,5.055883885490106,5.0,1.0,0.0,0.0,11.055883885490106
T6,95,/measure,-581.7231146780659,-759.0329336807873,2,direction,E11:joint_route_transit,118.81327130901741,5.0,1.0,0.0,0.0,124.81327130901741
T6,96,/measure,-581.7231146780659,-759.0329336807873,7,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
