dimension,value,strategy,pairs,qualified_pairs,win_rate,tie_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,mean_delta_movement_m,mean_delta_measurements,mean_delta_switches,mean_delta_clear_failures,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E12_runs,E12_sources,E12_all_cleared,E12_qualified,E12_failed_runs,E12_performance_population,E12_performance_runs,E12_weighted_time_per_source_s,E12_mean_time_per_source_s,E12_median,E12_P90,E12_P95,E12_P99,E12_max,E12_CVaR95,E12_tail_count,E12_mean_movement_m,E12_mean_measurements,E12_mean_switches,E12_mean_clear_failures
N,13,T4,29,29,0.5172413793103449,0.034482758620689655,-1.5622440769230934,31.023312215384603,36.66574692307694,27182949,-311.17053266603216,12.413793103448276,10.96551724137931,0,29,377,True,True,0,qualified_runs_only,29,267.3907471087533,267.3907471087533,263.8577963076923,296.3999967076923,312.3406760153846,323.45469415692304,325.4840998461538,321.8601611153846,2,13555.226148429332,117.62068965517241,106.03448275862068,1.9655172413793103,29,377,True,True,0,qualified_runs_only,29,268.22154528912466,268.22154528912466,260.2230846153846,298.4006310307692,302.96759513846155,305.66014436923075,306.0045759230769,305.3895195769231,2,13244.0556157633,130.0344827586207,117,1.9655172413793103
N,14,T4,29,29,0.5862068965517241,0.034482758620689655,-9.575770071428536,16.563953314285726,33.96014114285714,27182971,-801.4048257615542,10.275862068965518,9.310344827586206,-0.13793103448275862,29,406,True,True,0,qualified_runs_only,29,256.2820431009852,256.2820431009852,255.73694821428572,284.51835187142854,290.89820084285714,298.5085516085714,301.2950259285714,296.31917892857143,2,14176.81198223852,115.17241379310344,103.3103448275862,1.1379310344827587,29,406,True,True,0,qualified_runs_only,29,249.13882144827588,249.13882144827588,251.40866664285713,272.89013334285715,275.69808735714287,280.9672694428571,282.6462356428571,279.6480817142857,2,13375.407156476966,125.44827586206897,112.62068965517241,1
N,15,T4,28,28,0.4642857142857143,0.03571428571428571,0.16456270000000472,22.63822333000001,29.171920399999976,27182937,-229.55759217686318,9.607142857142858,9.071428571428571,0.35714285714285715,28,420,True,True,0,qualified_runs_only,28,242.15664535714285,242.15664535714285,240.50708236666668,264.8162173,270.57821336,279.1799802346667,281.72342206666667,277.0133446,2,14356.391258607553,115.5,103.85714285714286,1.5714285714285714,28,420,True,True,0,qualified_runs_only,28,242.97444888571428,242.97444888571428,244.25900946666667,268.99091304666666,271.53285847333336,276.1195605006667,277.5310662666667,274.91716670000005,2,14126.83366643069,125.10714285714286,112.92857142857143,1.9285714285714286
N,16,T4,28,28,0.5,0.0,-0.6349098437500089,19.376203537499983,21.634492312499987,27182826,-353.93707257187646,5.964285714285714,4.214285714285714,0.8928571428571429,28,448,True,True,0,qualified_runs_only,28,221.3086961919643,221.3086961919643,225.06192015624998,241.54551603125,243.10571682187498,252.90076716500002,256.2743508125,250.0269736875,2,14085.05283833495,108.71428571428571,95.96428571428571,1.4642857142857142,28,448,True,True,0,qualified_runs_only,28,219.17912564732143,219.17912564732143,224.38876771875,248.05313089375,252.74629943437498,256.989145150625,258.0189794375,256.11187890625,2,13731.115765763074,114.67857142857143,100.17857142857143,2.357142857142857
N,10,T6,28,28,0.25,0.6071428571428571,0.0,4.311904469999995,11.49024529999997,27182911,-215.5961334962951,5.321428571428571,4.178571428571429,-0.2857142857142857,28,280,True,True,0,qualified_runs_only,28,316.27109403928574,316.2710940392857,319.18067075,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,12039.62613092586,118.17857142857143,110.03571428571429,1.2857142857142858,28,280,True,True,0,qualified_runs_only,28,314.9520285142857,314.9520285142857,317.63913909999997,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,11824.029997429567,123.5,114.21428571428571,1
N,11,T6,29,29,0.13793103448275862,0.5862068965517241,0.0,15.757605000000012,34.52107527272727,27182919,-92.77484454534527,5.172413793103448,4.862068965517241,-0.3448275862068966,29,319,True,True,0,qualified_runs_only,29,297.5024386018809,297.5024386018809,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12529.53067536965,119.37931034482759,110.27586206896552,1.4827586206896552,29,319,True,True,0,qualified_runs_only,29,298.5146828119122,298.5146828119122,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12436.755830824304,124.55172413793103,115.13793103448276,1.1379310344827587
N,12,T6,29,29,0.20689655172413793,0.4827586206896552,0.0,22.689853383333304,25.95732775000002,27182955,-34.50943617637213,5.0344827586206895,5.0344827586206895,-0.2413793103448276,29,348,True,True,0,qualified_runs_only,29,273.1137747270115,273.1137747270115,276.89131308333333,313.58798726666663,320.9077036333333,338.52095084,344.37258775000004,333.923236125,2,12557.171311075359,118.48275862068965,108.65517241379311,1.6206896551724137,29,348,True,True,0,qualified_runs_only,29,274.99551400287356,274.99551400287356,277.64484608333333,318.13227394999996,323.05538686666665,338.52095084,344.37258775000004,333.923236125,2,12522.661874898988,123.51724137931035,113.6896551724138,1.3793103448275863
N,13,T6,29,29,0.3103448275862069,0.41379310344827586,0.0,28.078483938461527,36.66574692307694,27182949,-170.03216889717774,7.379310344827586,6.310344827586207,0.2413793103448276,29,377,True,True,0,qualified_runs_only,29,267.3907471087533,267.3907471087533,263.8577963076923,296.3999967076923,312.3406760153846,323.45469415692304,325.4840998461538,321.8601611153846,2,13555.226148429332,117.62068965517241,106.03448275862068,1.9655172413793103,29,377,True,True,0,qualified_runs_only,29,268.15417793899206,268.15417793899206,262.44793623076924,300.9053056923077,312.3406760153846,323.45469415692304,325.4840998461538,321.8601611153846,2,13385.193979532156,125,112.34482758620689,2.206896551724138
N,14,T6,29,29,0.4827586206896552,0.27586206896551724,0.0,14.10338187142856,33.96014114285714,27182971,-603.0493714613067,7.896551724137931,7.137931034482759,-0.1724137931034483,29,406,True,True,0,qualified_runs_only,29,256.2820431009852,256.2820431009852,255.73694821428572,284.51835187142854,290.89820084285714,298.5085516085714,301.2950259285714,296.31917892857143,2,14176.81198223852,115.17241379310344,103.3103448275862,1.1379310344827587,29,406,True,True,0,qualified_runs_only,29,250.96015552463055,250.96015552463055,251.40866664285713,272.89013334285715,284.51412984285713,298.5085516085714,301.2950259285714,296.31917892857143,2,13573.762610777212,123.06896551724138,110.44827586206897,0.9655172413793104
N,15,T6,28,28,0.39285714285714285,0.21428571428571427,0.0,18.241075323333334,29.171920399999976,27182937,-279.54678022715495,8.214285714285714,6.964285714285714,0.35714285714285715,28,420,True,True,0,qualified_runs_only,28,242.15664535714285,242.15664535714285,240.50708236666668,264.8162173,270.57821336,279.1799802346667,281.72342206666667,277.0133446,2,14356.391258607553,115.5,103.85714285714286,1.5714285714285714,28,420,True,True,0,qualified_runs_only,28,241.70316446904764,241.70316446904764,244.1040976,260.46486799999997,268.73701379,279.1799802346667,281.72342206666667,277.0133446,2,14076.844478380397,123.71428571428571,110.82142857142857,1.9285714285714286
